repository,number,type,title,state,draft,checked_at,created_at,updated_at,author,labels,adjacent_or_superseding_work,actionability,source_url
OpenHands/OpenHands,7752,issue,Allow for selection of multiple Git repositories,open,,2026-08-22,2025-04-07,2026-08-11,neubig,"enhancement|integrations|roadmap","OpenHands/software-agent-sdk#4239; maintainer comments clarify manual multi-repo operation exists","Important but underspecified; not selected",https://github.com/OpenHands/OpenHands/issues/7752
OpenHands/OpenHands,9414,issue,Personal Conversation Dashboard,open,,2026-08-22,2025-06-27,2026-08-03,jpelletier1,"enhancement|roadmap","Figma and product requirements in issue","Live product opportunity; weaker candidate alignment",https://github.com/OpenHands/OpenHands/issues/9414
OpenHands/OpenHands,15643,issue,ACP auth banner inaccurate on Docker/cloud,open,,2026-08-22,2026-06-08,2026-08-21,simonrosenberg,"good first issue","OpenHands/OpenHands#16145; OpenHands/OpenHands#16779","Occupied; do not duplicate",https://github.com/OpenHands/OpenHands/issues/15643
OpenHands/OpenHands,16145,pull_request,Surface credentials-configured banner on Docker/cloud,open,false,2026-08-22,,,georgeglarson,,"Implements #15643 with tests","Existing implementation",https://github.com/OpenHands/OpenHands/pull/16145
OpenHands/OpenHands,15623,issue,Stale SQLite migration crashes Automation startup,open,,2026-08-22,2026-06-10,2026-08-19,jamiechicago312,"good first issue","OpenHands/OpenHands#16114; #16393; #16625","Crowded; do not select",https://github.com/OpenHands/OpenHands/issues/15623
OpenHands/OpenHands,16114,pull_request,Auto-recover from stale SQLite database,open,false,2026-08-22,,,ArchyYang,,"Implements #15623 with tests","Existing implementation",https://github.com/OpenHands/OpenHands/pull/16114
OpenHands/OpenHands,15769,issue,Add Azure DevOps MCP integration,open,,2026-08-22,2026-05-29,2026-07-27,jpelletier1,"enhancement|good first issue|mcp","OpenHands/extensions#384","Occupied",https://github.com/OpenHands/OpenHands/issues/15769
OpenHands/extensions,384,pull_request,Add Azure DevOps MCP catalog entry,open,true,2026-08-22,,,jpelletier1,,"Implements #15769","Existing draft implementation",https://github.com/OpenHands/extensions/pull/384
OpenHands/OpenHands,16430,issue,File upload lacks progress indication,open,,2026-08-22,2026-08-08,2026-08-10,neubig,"bug|good first issue|frontend|agent-canvas|priority:medium|release-note-required","OpenHands/OpenHands#16487","Occupied",https://github.com/OpenHands/OpenHands/issues/16430
OpenHands/OpenHands,16487,pull_request,Show file-upload progress and keep prompt visible,open,true,2026-08-22,,,Ritinpaul,,"Implements #16430 with tests","Existing draft implementation",https://github.com/OpenHands/OpenHands/pull/16487
OpenHands/automation,358,issue,Extract transport-neutral accept_event,open,,2026-08-22,2026-08-21,2026-08-21,VascoSch92,enhancement,"No matching accept_event implementation PR found in checked search","Selected first upstream target",https://github.com/OpenHands/automation/issues/358
OpenHands/automation,361,issue,Persist accepted events for dedupe and unmatched visibility,open,,2026-08-22,2026-08-21,2026-08-21,VascoSch92,enhancement,"Blocked by #358; no matching IntegrationEvent PR found in checked search","Selected second upstream target",https://github.com/OpenHands/automation/issues/361
OpenHands/automation,363,issue,Unified webhook and Socket Mode ingestion pipeline,open,,2026-08-22,2026-08-21,2026-08-21,VascoSch92,enhancement,"Tracks #358-#362","Current roadmap evidence",https://github.com/OpenHands/automation/issues/363
OpenHands/automation,337,issue,Automation history depends on ephemeral bash events,open,,2026-08-22,2026-08-13,2026-08-13,smolpaws,,"Potential extension after event ledger","Ranked opportunity #2",https://github.com/OpenHands/automation/issues/337
OpenHands/software-agent-sdk,4077,issue,Streaming correctness and resource safety bugs,open,,2026-08-22,2026-07-10,2026-07-25,VascoSch92,bug,"Some sub-items have adjacent PRs","Ranked opportunity #3; scope carefully",https://github.com/OpenHands/software-agent-sdk/issues/4077
OpenHands/software-agent-sdk,4365,issue,Sub-agent trace and session identity mismatch,open,,2026-08-22,2026-08-04,2026-08-05,simonrosenberg,"bug|priority:medium|Needs Design","Assigned to simonrosenberg","Ranked opportunity #4; design approval required",https://github.com/OpenHands/software-agent-sdk/issues/4365
OpenHands/software-agent-sdk,3549,issue,Frozen LLM fixture replay bypass,open,,2026-08-22,2026-06-06,2026-08-03,enyst,bug,"No first-class replay implementation established in checked source","Ranked opportunity #5",https://github.com/OpenHands/software-agent-sdk/issues/3549
